znak kod
119 00000
103 000010
106 000011
115 0001
45 00100
100 00101
110 0011
85 01000000000
72 01000000001
76 010000000100
78 010000000101
69 010000000110
70 010000000111
79 010000001000
80 010000001001
84 010000001010
81 0100000010110
82 0100000010111
66 0100000011
102 01000001
185 0100001
234 0100010
118 0100011
98 010010
107 010011
111 0101
10 01100
122 01101
117 01110
67 0111100000
33 01111000010
71 01111000011
83 01111000100
68 01111000101
77 01111000110
46 0111100011100
58 0111100011101
73 0111100011110
74 0111100011111
191 01111001
104 0111101
230 01111100
113 011111010
241 0111110110
159 011111011100
86 011111011101
65 011111011110
63 011111011111
44 0111111
97 1000
99 10010
109 10011
121 101000
179 1010010
120 101001100
243 101001101
156 10100111
112 101010
108 101011
101 1011
32 110
116 11100
114 11101
105 1111
