wezel czestosc l_child r_child parent
#63 2686710 #61 #62 nn 
#61 1078350 #57 #58 #63 
#57 488280 #50 #51 #61 
#50 235560 #42 115 #57 
#42 111540 119 #36 #50 
119 54210 nn nn #42 
#36 57330 103 106 #42 
103 28470 nn nn #36 
106 28860 nn nn #36 
115 124020 nn nn #50 
#51 252720 #43 110 #57 
#43 125190 45 100 #51 
45 59280 nn nn #43 
100 65910 nn nn #43 
110 127530 nn nn #51 
#58 590070 #52 #53 #61 
#52 273780 #44 111 #58 
#44 135720 #37 #38 #52 
#37 66300 #31 #32 #44 
#31 31590 #27 185 #37 
#27 15210 #23 102 #31 
#23 7020 #17 #19 #27 
#17 3120 #10 #8 #23 
#10 1560 85 72 #17 
85 780 nn nn #10 
72 780 nn nn #10 
#8 1560 #4 #2 #17 
#4 780 76 78 #8 
76 390 nn nn #4 
78 390 nn nn #4 
#2 780 69 70 #8 
69 390 nn nn #2 
70 390 nn nn #2 
#19 3900 #13 66 #23 
#13 1950 #5 #7 #19 
#5 780 79 80 #13 
79 390 nn nn #5 
80 390 nn nn #5 
#7 1170 84 #6 #13 
84 390 nn nn #7 
#6 780 81 82 #7 
81 390 nn nn #6 
82 390 nn nn #6 
66 1950 nn nn #19 
102 8190 nn nn #27 
185 16380 nn nn #31 
#32 34710 234 118 #37 
234 16380 nn nn #32 
118 18330 nn nn #32 
#38 69420 98 107 #44 
98 34710 nn nn #38 
107 34710 nn nn #38 
111 138060 nn nn #52 
#53 316290 #45 #46 #58 
#45 148590 10 122 #53 
10 70590 nn nn #45 
122 78000 nn nn #45 
#46 167700 117 #39 #53 
117 83850 nn nn #46 
#39 83850 #33 #34 #46 
#33 39390 #28 104 #39 
#28 19500 #24 191 #33 
#24 9360 #20 #21 #28 
#20 4290 67 #15 #24 
67 1950 nn nn #20 
#15 2340 33 71 #20 
33 1170 nn nn #15 
71 1170 nn nn #15 
#21 5070 #14 #16 #24 
#14 2340 83 68 #21 
83 1170 nn nn #14 
68 1170 nn nn #14 
#16 2730 77 #12 #21 
77 1170 nn nn #16 
#12 1560 #1 #3 #16 
#1 780 46 58 #12 
46 390 nn nn #1 
58 390 nn nn #1 
#3 780 73 74 #12 
73 390 nn nn #3 
74 390 nn nn #3 
191 10140 nn nn #28 
104 19890 nn nn #33 
#34 44460 #29 44 #39 
#29 21840 230 #25 #34 
230 10530 nn nn #29 
#25 11310 113 #22 #29 
113 5460 nn nn #25 
#22 5850 241 #18 #25 
241 2730 nn nn #22 
#18 3120 #9 #11 #22 
#9 1560 159 86 #18 
159 780 nn nn #9 
86 780 nn nn #9 
#11 1560 65 63 #18 
65 780 nn nn #11 
63 780 nn nn #11 
44 22620 nn nn #34 
#62 1608360 #59 #60 #63 
#59 759720 #54 #55 #62 
#54 359190 97 #47 #59 
97 177060 nn nn #54 
#47 182130 99 109 #54 
99 88920 nn nn #47 
109 93210 nn nn #47 
#55 400530 #48 101 #59 
#48 198510 #40 #41 #55 
#40 94770 121 #35 #48 
121 45630 nn nn #40 
#35 49140 179 #30 #40 
179 23010 nn nn #35 
#30 26130 #26 156 #35 
#26 12870 120 243 #30 
120 6240 nn nn #26 
243 6630 nn nn #26 
156 13260 nn nn #30 
#41 103740 112 108 #48 
112 49530 nn nn #41 
108 54210 nn nn #41 
101 202020 nn nn #55 
#60 848640 32 #56 #62 
32 409500 nn nn #60 
#56 439140 #49 105 #60 
#49 214500 116 114 #56 
116 104520 nn nn #49 
114 109980 nn nn #49 
105 224640 nn nn #56 
