home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Bolton Wanderers,Derby County,1888-09-08,3,6,F,england,Bolton Wanderers (England),Derby County (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Everton FC,Accrington FC,1888-09-08,2,1,F,england,Everton FC (England),Accrington FC (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Preston North End,Burnley FC,1888-09-08,5,2,F,england,Preston North End (England),Burnley FC (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Stoke City,West Bromwich Albion,1888-09-08,0,2,F,england,Stoke City (England),West Bromwich Albion (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Wolverhampton Wanderers,Aston Villa,1888-09-08,1,1,F,england,Wolverhampton Wanderers (England),Aston Villa (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Aston Villa,Stoke City,1888-09-15,5,1,F,england,Aston Villa (England),Stoke City (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Blackburn Rovers,Accrington FC,1888-09-15,5,5,F,england,Blackburn Rovers (England),Accrington FC (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Bolton Wanderers,Burnley FC,1888-09-15,3,4,F,england,Bolton Wanderers (England),Burnley FC (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Derby County,West Bromwich Albion,1888-09-15,1,2,F,england,Derby County (England),West Bromwich Albion (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Everton FC,Notts County,1888-09-15,2,1,F,england,Everton FC (England),Notts County (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Wolverhampton Wanderers,Preston North End,1888-09-15,0,4,F,england,Wolverhampton Wanderers (England),Preston North End (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Aston Villa,Everton FC,1888-09-22,2,1,F,england,Aston Villa (England),Everton FC (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Blackburn Rovers,West Bromwich Albion,1888-09-22,6,2,F,england,Blackburn Rovers (England),West Bromwich Albion (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Derby County,Accrington FC,1888-09-22,1,1,F,england,Derby County (England),Accrington FC (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Preston North End,Bolton Wanderers,1888-09-22,3,1,F,england,Preston North End (England),Bolton Wanderers (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Stoke City,Notts County,1888-09-22,3,0,F,england,Stoke City (England),Notts County (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Wolverhampton Wanderers,Burnley FC,1888-09-22,4,1,F,england,Wolverhampton Wanderers (England),Burnley FC (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Aston Villa,Notts County,1888-09-29,9,1,F,england,Aston Villa (England),Notts County (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Bolton Wanderers,Everton FC,1888-09-29,6,2,F,england,Bolton Wanderers (England),Everton FC (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Derby County,Preston North End,1888-09-29,2,3,F,england,Derby County (England),Preston North End (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Stoke City,Accrington FC,1888-09-29,2,4,F,england,Stoke City (England),Accrington FC (England),england,england,ENG,ENG,Europe,Europe,Europe,national
West Bromwich Albion,Burnley FC,1888-09-29,4,3,F,england,West Bromwich Albion (England),Burnley FC (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Wolverhampton Wanderers,Blackburn Rovers,1888-09-29,2,2,F,england,Wolverhampton Wanderers (England),Blackburn Rovers (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Accrington FC,Wolverhampton Wanderers,1888-10-06,4,4,F,england,Accrington FC (England),Wolverhampton Wanderers (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Burnley FC,Bolton Wanderers,1888-10-06,4,1,F,england,Burnley FC (England),Bolton Wanderers (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Everton FC,Aston Villa,1888-10-06,2,0,F,england,Everton FC (England),Aston Villa (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Notts County,Blackburn Rovers,1888-10-06,3,3,F,england,Notts County (England),Blackburn Rovers (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Preston North End,Stoke City,1888-10-06,7,0,F,england,Preston North End (England),Stoke City (England),england,england,ENG,ENG,Europe,Europe,Europe,national
West Bromwich Albion,Derby County,1888-10-06,5,0,F,england,West Bromwich Albion (England),Derby County (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Accrington FC,Derby County,1888-10-13,6,2,F,england,Accrington FC (England),Derby County (England),england,england,ENG,ENG,Europe,Europe,Europe,national
Aston Villa,Blackburn Rovers,1888-10-13,6,1,F,england,Aston Villa (England),Blackburn Rovers (England),england,england,ENG,ENG,Europe,Europe,Europe,national
