R1,R2,R3,R4,R(R),K(R),R_norm,K_norm,d
1.0,0.98,0.95,1.0,40.83333333333467,1800.911830554124,0.6919067706637222,0.5829704735396716,0.6593754704126664
1.0,0.97,0.96,1.0,41.27659574468278,1800.8932895815738,0.6995990679658748,0.6288591533868985,0.6969250711270601
1.0,0.96,0.97,1.0,41.27659574468159,1800.8836117673518,0.6995990679658542,0.6528116249872618,0.7186123695605947
1.0,0.95,0.98,1.0,40.83333333333467,1800.8822230752764,0.6919067706637222,0.6562486208557138,0.7249715100180715
1.0,1.0,0.96,0.99,45.000000000001585,1800.8441395869772,0.7642143653038646,0.750504787693444,0.7866716607834814
0.99,1.0,0.96,1.0,45.000000000002046,1800.8360675052165,0.7642143653038727,0.7704830911300102,0.8057537212115816
1.0,0.99,0.97,0.99,45.760266851501285,1800.8271027783576,0.7774079014598425,0.7926706802456148,0.8233310692871714
0.99,0.99,0.97,1.0,45.760266851501285,1800.8190306965967,0.7774079014598425,0.8126489836827439,0.8425827039603339
1.0,0.98,0.98,0.99,46.019321613879214,1800.8175811396873,0.7819034918792714,0.8162366192695637,0.8448717686673296
1.0,0.96,1.0,0.99,45.000000000001585,1800.819186706447,0.7642143653038646,0.8122628612150027,0.845793013235651
1.0,0.97,0.99,0.99,45.7602668515008,1800.8150686648432,0.7774079014598341,0.8224549637188282,0.8520442533567455
0.99,0.98,0.98,1.0,46.019321613879214,1800.8095090579263,0.7819034918792714,0.8362149227066927,0.864188338160042
0.99,0.96,1.0,1.0,45.000000000002046,1800.811114624686,0.7642143653038727,0.8322411646521317,0.8649972379554701
0.99,0.97,0.99,1.0,45.760266851501285,1800.8069965830823,0.7774079014598425,0.8424332671559572,0.8713443934194858
1.0,0.97,0.95,1.0,17.001845018450485,1800.9375217640072,0.2783393474452023,0.5193850439174676,0.8891315545468884
1.0,0.96,0.96,1.0,17.041420118343478,1800.921682759587,0.2790261267126196,0.5585863857549771,0.9120428039921239
1.0,0.95,0.97,1.0,17.001845018450418,1800.9149910819635,0.2783393474452011,0.5751482058681845,0.9228161009427662
1.0,1.0,0.99,0.98,58.586956521742614,1800.7676528541572,1.0,0.9398085140989445,0.9398085140989445
1.0,0.96,0.95,1.0,10.654205607476726,1800.9659149420202,0.168183538457093,0.44911227628610906,0.9453150069710377
1.0,0.99,1.0,0.98,58.586956521742614,1800.7644119013632,1.0,0.9478298325469267,0.9478298325469267
1.0,1.0,0.95,0.99,17.61235955056212,1800.8883717694107,0.28893410839956435,0.6410306782240132,0.9573583616503596
1.0,0.95,0.95,1.0,7.713675213675276,1800.997294256632,0.11715409531901277,0.3714488571670318,0.9578053794496483
1.0,0.95,0.96,1.0,10.654205607476726,1800.9530620741987,0.168183538457093,0.4809229666358999,0.9608358473389913
0.99,1.0,0.95,1.0,17.612359550562118,1800.8802996876498,0.2889341083995643,0.6610089816611421,0.9708488945424116
0.99,1.0,0.99,0.99,50.375833281417535,1800.757846588486,0.8575056230076057,0.9640789014619399,0.974552602848359
0.98,1.0,0.99,1.0,58.586956521742614,1800.7514000514414,1.0,0.9800340016469294,0.9800340016469294
0.99,0.99,1.0,0.99,50.375833281417535,1800.7546056356919,0.8575056230076057,0.9721002199104848,0.9824884147024144
0.98,0.99,1.0,1.0,58.58695652174108,1800.7481590986472,0.9999999999999734,0.9880553200954743,0.9880553200954743
1.0,0.95,0.95,0.95,1.4491253274740148,1801.1202504310422,0.008440207213165435,0.06713383229602382,0.993829851690027
1.0,0.99,0.96,0.99,17.772606382979063,1800.8651737705925,0.2917150035197492,0.6984454410138929,0.9947329643236521
1.0,0.95,0.95,0.96,1.7442422290223891,1801.0915761977158,0.013561613602432647,0.13810220838405757,0.9960586880898082
1.0,0.95,0.95,0.99,4.215896758363634,1801.0181160235506,0.05645426811396897,0.31991523920824205,0.9963053289218184
0.99,0.95,0.95,0.95,1.2107510339795764,1801.1330001162,0.004303501984375397,0.03557851777436305,0.9963319462345868
0.99,0.95,0.95,0.96,1.4219082378029706,1801.1043258828736,0.007967886664233077,0.1065468938623968,0.9977374176010203
0.98,0.95,0.95,0.96,1.1963181885812448,1801.118701112748,0.0040530369440794755,0.070968376087471,0.9984722648250195
0.98,0.95,0.95,0.95,1.0367329790476238,1801.1473753460743,0.0012836235101150197,0.0,0.998716376489885
0.97,0.95,0.95,0.96,1.0296008656209692,1801.1349091391717,0.0011598540781353323,0.030853709314134004,0.9993165606971861
1.0,0.95,0.95,0.97,2.1788123148908682,1801.065106544212,0.021103065829242564,0.20361427642725363,0.9998489792433166
