G,M,C,I,R,D
neutral,negative,not_raise,not_grow,negative,no
neutral,positive,raise,not_grow,negative,no
neutral,positive,raise,not_grow,negative,yes
bad,positive,raise,not_grow,positive,
bad,negative,not_raise,not_grow,,yes
neutral,positive,not_raise,not_grow,negative,yes
neutral,positive,not_raise,not_grow,negative,yes
bad,positive,raise,grow,positive,no
bad,positive,,not_grow,positive,yes
bad,,raise,grow,positive,yes
neutral,positive,not_raise,grow,negative,yes
neutral,positive,raise,grow,positive,no
neutral,positive,not_raise,not_grow,negative,no
bad,positive,raise,not_grow,positive,
neutral,positive,not_raise,not_grow,negative,yes
neutral,negative,raise,grow,positive,yes
neutral,negative,not_raise,not_grow,negative,yes
good,positive,raise,grow,positive,no
bad,positive,raise,grow,negative,yes
bad,positive,not_raise,grow,negative,yes
neutral,negative,raise,not_grow,positive,yes
neutral,negative,not_raise,not_grow,negative,no
good,positive,not_raise,grow,negative,yes
neutral,negative,not_raise,not_grow,negative,yes
bad,negative,not_raise,not_grow,negative,yes
neutral,negative,not_raise,not_grow,positive,no
neutral,positive,not_raise,not_grow,negative,yes
bad,positive,not_raise,not_grow,positive,yes
neutral,negative,not_raise,not_grow,positive,yes
neutral,negative,raise,grow,positive,yes
bad,positive,not_raise,not_grow,negative,yes
neutral,negative,not_raise,not_grow,positive,yes
bad,positive,raise,grow,positive,yes
neutral,positive,raise,not_grow,negative,yes
bad,positive,not_raise,grow,negative,no
bad,positive,not_raise,not_grow,positive,yes
neutral,negative,not_raise,not_grow,positive,no
bad,positive,raise,grow,positive,yes
neutral,negative,not_raise,grow,positive,yes
bad,negative,not_raise,grow,positive,yes
good,positive,raise,grow,positive,
neutral,negative,not_raise,not_grow,positive,yes
good,positive,not_raise,not_grow,positive,yes
neutral,negative,not_raise,,negative,yes
neutral,negative,not_raise,grow,positive,no
neutral,negative,not_raise,not_grow,negative,yes
good,positive,not_raise,not_grow,positive,yes
neutral,negative,not_raise,not_grow,negative,yes
neutral,negative,not_raise,not_grow,positive,yes
neutral,negative,not_raise,not_grow,positive,yes
neutral,negative,raise,not_grow,positive,yes
neutral,positive,raise,not_grow,positive,yes
neutral,positive,not_raise,not_grow,negative,yes
good,positive,not_raise,not_grow,negative,yes
neutral,negative,not_raise,not_grow,positive,yes
bad,positive,not_raise,not_grow,positive,
bad,negative,raise,grow,positive,no
bad,positive,not_raise,not_grow,negative,yes
bad,positive,not_raise,not_grow,negative,no
bad,positive,not_raise,not_grow,positive,yes
neutral,negative,,not_grow,positive,no
neutral,positive,raise,grow,positive,no
neutral,negative,raise,grow,negative,no
neutral,positive,raise,not_grow,positive,no
neutral,negative,not_raise,not_grow,negative,
good,positive,raise,not_grow,positive,yes
neutral,positive,not_raise,not_grow,negative,yes
bad,positive,raise,grow,positive,no
neutral,negative,not_raise,not_grow,negative,no
neutral,negative,,not_grow,positive,yes
bad,positive,not_raise,grow,positive,yes
neutral,positive,raise,grow,positive,yes
neutral,negative,not_raise,not_grow,positive,yes
