Global_Events	Market_Condition	Company_Income	Company_Reputation	Action_Cost_Change	Investment_Decision
good	positive	not_grow	positive	raise	yes
good	positive	not_grow	negative	not_raise	no
neutral	positive	not_grow	negative	not_raise	no
bad	*	not_grow	positive	raise	yes
*	positive	not_grow	negative	not_raise	yes
good	positive	not_grow	negative	not_raise	no
bad	negative	not_grow	positive	raise	yes
good	positive	grow	positive	raise	yes
bad	positive	not_grow	positive	not_raise	no
neutral	positive	not_grow	positive	not_raise	no
neutral	positive	not_grow	negative	raise	yes
bad	positive	not_grow	positive	raise	yes
good	positive	not_grow	positive	not_raise	yes
neutral	positive	grow	positive	raise	no
neutral	negative	not_grow	positive	not_raise	yes
bad	negative	grow	positive	raise	*
neutral	positive	not_grow	positive	raise	no
bad	negative	grow	positive	raise	no
good	positive	not_grow	negative	not_raise	no
bad	positive	not_grow	positive	raise	no
neutral	positive	not_grow	positive	not_raise	yes
bad	positive	not_grow	positive	not_raise	yes
neutral	positive	grow	positive	raise	yes
neutral	positive	not_grow	positive	raise	yes
neutral	negative	not_grow	positive	not_raise	yes
neutral	positive	not_grow	positive	not_raise	yes
neutral	negative	not_grow	positive	not_raise	no
good	positive	grow	positive	raise	yes
good	positive	not_grow	negative	raise	no
bad	negative	grow	negative	raise	yes
neutral	negative	not_grow	negative	not_raise	no
bad	positive	not_grow	positive	raise	no
bad	positive	not_grow	positive	raise	no
neutral	positive	not_grow	positive	not_raise	no
neutral	positive	grow	positive	raise	yes
bad	negative	not_grow	negative	not_raise	yes
neutral	negative	not_grow	positive	not_raise	no
neutral	*	not_grow	negative	not_raise	yes
neutral	negative	grow	positive	raise	yes
bad	positive	not_grow	positive	raise	yes
neutral	positive	grow	positive	raise	yes
bad	positive	not_grow	negative	raise	yes
bad	positive	not_grow	negative	raise	yes
bad	positive	not_grow	positive	raise	yes
neutral	negative	grow	negative	not_raise	yes
bad	negative	grow	negative	raise	yes
neutral	positive	not_grow	negative	not_raise	yes
good	positive	not_grow	positive	raise	yes
neutral	positive	not_grow	positive	*	no
